Question,A,B,C,D,Prav_vid
"Що з наведеного найточніше описує ''дані''?","Сирі факти/вимірювання без інтерпретації","Пояснення причин явищ","Закони та теорії","Особисті думки експерта",A
"Що найкраще описує ''інформацію''?","Дані, яким надано контекст і значення","Будь-які числа у таблиці","Набір файлів на диску","Тільки текстові документи",A
"Що найточніше описує ''знання'' у контексті даних?","Узагальнені висновки/правила на основі інформації та досвіду","Будь-який датасет","Окремий стовпець таблиці","Сирі логи сервера",A
"Який приклад є структурованими даними?","Таблиця в БД з фіксованими колонками","Пост у соцмережі","Зображення","Аудіозапис",A
"Який приклад є напівструктурованими даними?","JSON або XML документ","PNG-зображення","Паперовий документ без розмітки","Відео з камери",A
"Який приклад є неструктурованими даними?","Відео","Таблиця CSV з заголовками","Реляційна таблиця SQL","Excel-таблиця з чіткими колонками",A
"Основна різниця між structured і semi-structured даними полягає в тому, що semi-structured…","мають гнучку схему/теги, але без жорстких таблиць","завжди зберігаються тільки в Excel","не можуть містити текст","не можуть бути оброблені Python",A
"Що з наведеного входить у життєвий цикл даних (Data Lifecycle)?","Збір → зберігання → обробка → аналіз → архівація/видалення","Тільки збереження","Тільки візуалізація","Тільки навчання нейромереж",A
"Який етап Data Lifecycle відповідає за перевірку якості, очищення та перетворення даних?","Обробка/підготовка даних","Збір даних","Архівація","Маркетинг",A
"Який етап Data Lifecycle найчастіше пов’язаний з правами доступу та безпекою?","Зберігання та керування доступом","Тільки візуалізація","Тільки генерація звітів","Тільки імпорт у Excel",A
"Яка причина робить Python популярним для data-analysis?","Багато бібліотек (NumPy, Pandas, Matplotlib) та проста синтаксична база","Працює лише на сервері","Не підтримує файли CSV","Може запускатися тільки в браузері",A
"Яка бібліотека найчастіше використовується для табличних даних у Python?","Pandas","NumPy","Matplotlib","Requests",A
"Який формат файлу зазвичай зручний для зберігання табличних даних з простим обміном?","CSV","MP3","PNG","EXE",A
"Що таке ''середовище виконання'' (environment) у Python-проєкті?","Набір встановлених пакетів і версія Python для конкретного проєкту","Лише папка з кодом","Лише Jupyter Notebook","Тільки операційна система",A
"Для чого використовують venv?","Створення ізольованого середовища з пакетами для проєкту","Збільшення швидкості інтернету","Створення резервної копії Windows","Шифрування файлів",A
"Яка перевага Anaconda для data-science?","Містить багато бібліотек для аналізу даних та зручне керування середовищами","Працює тільки без інтернету","Не підтримує пакети","Замінює Python повністю",A
"Що таке Jupyter Notebook?","Інтерактивне середовище з комірками коду і тексту для аналізу","Тільки текстовий редактор без запуску коду","Компілятор C++","Система керування базами даних",A
"Головна перевага ноутбуків (Jupyter) у навчанні та аналізі даних:","Можна виконувати код поетапно та одразу бачити результат","Працюють лише з відео","Не дозволяють будувати графіки","Не підтримують Python",A
"Що з наведеного найкраще описує VS Code у контексті Python?","Редактор/IDE з розширеннями для запуску коду, налагодження та роботи з проєктом","Тільки переглядач PDF","Хмарне сховище файлів","Мова програмування",A
"Яка команда створює віртуальне середовище venv (загальний випадок)?","python -m venv venv","pip install venv","conda create venv","jupyter create env",A
"Як зазвичай активують venv у Windows (PowerShell/Command Prompt залежно від налаштувань)?","venv\\Scripts\\activate","source venv/bin/activate","python venv activate","activate --venv",A
"Як зазвичай активують venv у Linux/macOS?","source venv/bin/activate","venv\\Scripts\\activate","python -m activate venv","conda activate system",A
"Що таке ''пакет'' (package) у Python?","Набір модулів/коду, який можна встановити через менеджер пакетів","Будь-який файл Excel","Архів з фотографіями","Окремий рядок коду",A
"Який менеджер пакетів найчастіше використовують у venv?","pip","git","docker","npm",A
"Що означає ''reproducibility'' (відтворюваність) в аналізі даних?","Можливість повторити ті самі кроки й отримати ті ж результати за тих самих даних/умов","Використання лише Excel","Запуск коду тільки один раз","Використання лише графіків",A
"Який тип даних найімовірніше буде unstructured?","Фотографії з камери","Таблиця SQL","CSV-файл з колонками","Форма Google з фіксованими полями",A
"Який тип даних найімовірніше буде semi-structured?","Логи у форматі JSON","Таблиця у реляційній БД","Скан книги у PDF без розмітки","MP4 відео",A
"Яка типова послідовність робіт для старту аналізу даних у Python?","Налаштувати середовище → завантажити дані → очистити/підготувати → проаналізувати/візуалізувати","Одразу побудувати нейромережу → потім зібрати дані","Архівувати дані → видалити дані → аналізувати","Спочатку зробити презентацію → потім шукати дані",A
"Що означає ''structured data'' у простих словах?","Дані з чіткою схемою (рядки/колонки), які легко зберігати в таблицях","Будь-які дані, що мають текст","Дані, які не можна описати","Дані тільки у вигляді зображень",A
