Question,A,B,C,D,Prav_vid
"Форма результату (3,4) + (4,):","(3,4)","(4,3)",Помилка,"(3,)",A
"Форма результату (3,4) + (3,1):","(3,4)","(3,1)","(1,4)",Помилка,A
"Форма результату (3,4) + (3,):","(3,4)","(4,3)",Помилка,"(3,3)",C
Broadcasting працює якщо:,Розміри рівні або 1,Будь-які,Тільки 2D,Тільки однакові,A
Скаляр у NumPy має форму:,(),"(1,)","(1,1)","(n,)",A
"(5,1)+(5,) дає форму:","(5,5)","(5,1)","(1,5)",Помилка,A
"(2,3)+(3,) означає:",Додається рядок,Додається стовпець,Помилка,Транспонування,A
"(2,3)+(2,1) означає:",Додається стовпець,Додається рядок,Помилка,"(2,2)",A
Якщо справа 4 і 3 — буде:,Broadcast,Помилка,"(4,3)","(3,4)",B
Broadcasting порівнює осі:,Справа наліво,Зліва направо,Випадково,По діагоналі,A
"reshape(3,1) використовується щоб:",Зробити стовпець,Зробити рядок,Змінити тип,Обчислити det,A
"(m,n)+(n,) додає:",Вектор до кожного рядка,До стовпця,Помилка,Transpose,A
"(m,n)+(m,1) додає:",Стовпець до рядків,Рядок,Помилка,None,A
"(m,n)+(m,) працює?",Так,Ні,Іноді,Завжди,B
ValueError broadcast означає:,Несумісні форми,Тип помилки,Ділення на 0,None,A
.shape повертає:,Форму,Тип,Розмір,Осі,A
.ndim повертає:,Кількість вимірів,Форму,Розмір,Тип,A
.size повертає:,Кількість елементів,Форму,Тип,Осі,A
.dtype повертає:,Тип даних,Форму,Mean,Std,A
np.zeros створює:,Нульовий масив,Одиничний,Random,Identity,A
np.ones створює:,Одиничний масив,Нульовий,Random,Scalar,A
np.eye створює:,Одиничну матрицю,Нульову,Random,Vector,A
np.arange створює:,Діапазон,Mean,Std,Var,A
np.linspace створює:,Рівномірні точки,Random,Matrix,List,A
ndarray зберігає:,Один тип даних,Різні типи,Тільки int,None,A
A @ B означає:,Матричне множення,Поелементне,Ділення,Broadcast,A
A.T означає:,Транспонування,Інверсію,Det,None,A
np.linalg.det обчислює:,Визначник,Mean,Var,Std,A
np.linalg.inv обчислює:,Обернену матрицю,Transpose,Sum,None,A
np.linalg.eig повертає:,Власні числа і вектори,Det,Mean,None,A
det(A)=0 означає:,Матриця необернена,Обернена,Identity,Scalar,A
Діагональна матриця має власні числа:,Діагональні елементи,1,0,Sum,A
Квадратна n×n має:,n власних чисел,1,2,∞,A
Власний вектор після A*v:,Масштабується,Змінює форму,Стає 0,Transpose,A
Матриця 2x2 має det = ad-bc?,Так,Ні,Іноді,None,A
np.mean обчислює:,Середнє,Median,Var,Cov,A
np.median обчислює:,Медіану,Mean,Std,Var,A
np.std обчислює:,Std,Mean,Var,Cov,A
np.var обчислює:,Дисперсію,Mean,Std,Cov,A
np.corrcoef повертає:,Матрицю кореляцій,Скаляр,Mean,Var,A
np.cov повертає:,Матрицю коваріацій,Mean,Std,Scalar,A
Кореляція в межах:,"[-1,1]","[0,1]","[-∞,∞]","[0,100]",A
Коваріація залежить від:,Масштабу,Нічого,Mean,Axis,A
corr=1 означає:,Ідеальна пряма залежність,Немає зв’язку,Помилка,None,A
corr=0 означає:,Немає лінійного зв’язку,Причинність,Perfect,None,A
MSE формула:,mean((y-ŷ)^2),mean(|y-ŷ|),std,cov,A
MAE формула:,mean(|y-ŷ|),mean((y-ŷ)^2),std,var,A
Нормалізація:,(X-min)/(max-min),(X-mean)/std,X/max,X-min,A
Стандартизація:,(X-mean)/std,(X-min)/(max-min),X/std,X-mean,A
axis=0 означає:,По стовпцях,По рядках,Скаляр,None,A
